r1 d1 n1 r2 d2 n2 target
0.019417 5.211965 1.516802 0.000000 95.411666 1.000000 0.039640
0.019417 3.596797 1.516802 0.000000 95.411666 1.000000 0.076705
0.019417 4.730000 1.516802 0.000000 95.043260 1.000000 0.049153
0.019417 4.730000 1.516802 0.000000 97.806368 1.000000 0.205175
0.019417 4.730000 1.516802 0.000000 92.835666 1.000000 0.230325
0.019417 4.730000 1.516802 0.000000 94.618918 1.000000 0.080442
0.019417 4.730000 1.516802 0.000000 97.985797 1.000000 0.220534
0.019417 4.730000 1.516802 0.000000 95.545929 1.000000 0.033303
0.019417 4.730000 1.516802 0.000000 95.516838 1.000000 0.032884
0.019417 4.730000 1.516802 0.000000 95.825369 1.000000 0.044971
0.019417 4.730000 1.516802 0.000000 94.820005 1.000000 0.064904
0.019417 4.730000 1.516802 0.000000 96.107734 1.000000 0.064309
0.019417 4.730000 1.516802 0.000000 97.116129 1.000000 0.146454
0.019417 4.730000 1.516802 0.000000 96.976182 1.000000 0.134663
0.019417 4.730000 1.516802 0.000000 95.078316 1.000000 0.046924
0.019417 4.730000 1.516802 0.000000 92.817597 1.000000 0.231874
0.019417 4.730000 1.516802 0.000000 96.250423 1.000000 0.075224
0.019417 4.730000 1.516802 0.000000 97.179046 1.000000 0.151772
0.019417 4.730000 1.516802 0.000000 94.753556 1.000000 0.069940
0.019417 4.730000 1.516802 0.000000 96.403959 1.000000 0.087399
0.019417 4.730000 1.516802 0.000000 95.526777 1.000000 0.033006
0.019417 4.730000 1.516802 0.000000 98.404922 1.000000 0.256496
0.019417 4.730000 1.516802 0.000000 95.411666 1.000000 0.032970
0.019431 4.730000 1.516802 0.000000 95.399897 1.000000 0.032654
0.019396 4.730000 1.516802 0.000000 95.577444 1.000000 0.032536
0.019391 4.730000 1.516802 0.000000 95.606331 1.000000 0.032517
0.019407 4.730000 1.516802 0.000000 95.519999 1.000000 0.032574
0.019437 4.730000 1.516802 0.000000 95.365662 1.000000 0.032677
0.019394 4.730000 1.516802 0.000000 95.588540 1.000000 0.032529
0.019408 4.730000 1.516802 0.000000 95.515205 1.000000 0.032577
0.019383 4.730000 1.516802 0.000000 95.645929 1.000000 0.032490
0.019419 4.730000 1.516802 0.000000 95.460966 1.000000 0.032613
0.019393 4.730000 1.516802 0.000000 95.597001 1.000000 0.032523
